Program identifier,Target name,Right Ascension,Declination,Instrument,Dispersive Element,Phase Start,Phase End,Observing Mode,Scan Rate,Visit identifier,Date/Time Start,Date/Time End,Orbits,Status,PI name,Proprietary Period (Months),Direct image,White light curve,XY drift map
13467,HD-209458,22:03:10.7721,+18:53:03.54,WFC3/IR,G141,N/A,N/A,Forward,1.150,78,Dec 10 2014 04:44:33,Dec 10 2014 05:41:21,1,Archived,Bean,0,N/A,N/A,N/A
13467,HD-209458,22:03:10.7721,+18:53:03.54,WFC3/IR,G141,N/A,N/A,Forward,1.150,79,Dec 10 2014 06:20:04,Dec 10 2014 07:16:52,1,Archived,Bean,0,Yes,Yes,Yes
13467,HD-209458,22:03:10.7721,+18:53:03.54,WFC3/IR,G141,0.44500,0.45100,Forward,1.150,80,Dec 31 2014 03:44:03,Dec 31 2014 04:40:51,1,Archived,Bean,0,Yes,Yes,Yes
13467,HD-209458,22:03:10.7721,+18:53:03.54,WFC3/IR,G141,N/A,N/A,Forward,1.150,81,Dec 31 2014 05:19:32,Dec 31 2014 06:16:20,1,Archived,Bean,0,Yes,Yes,Yes
13467,HD-209458,22:03:10.7721,+18:53:03.54,WFC3/IR,G141,N/A,N/A,Forward,1.150,82,Dec 31 2014 06:55:02,Dec 31 2014 07:51:50,1,Archived,Bean,0,Yes,Yes,Yes
13467,HD-209458,22:03:10.7721,+18:53:03.54,WFC3/IR,G141,N/A,N/A,Forward,1.150,83,Dec 31 2014 08:30:32,Dec 31 2014 09:27:20,1,Archived,Bean,0,Yes,Yes,Yes
13467,HD-209458,22:03:10.7721,+18:53:03.54,WFC3/IR,G141,N/A,N/A,Forward,1.150,84,Dec 31 2014 10:06:01,Dec 31 2014 11:02:49,1,Archived,Bean,0,Yes,Yes,Yes
13501,HD-97658,11:14:33.1619,+25:42:37.39,WFC3/IR,G141,0.98050,0.98200,Forward,1.400,04,Jan 07 2014 18:37:47,Jan 08 2014 01:46:56,5,Archived,Knutson,0,Yes,Yes,Yes
13501,HD-97658,11:14:33.1619,+25:42:37.39,WFC3/IR,G141,0.97819,0.97986,Reverse,1.400,02,Dec 19 2013 18:39:59,Dec 20 2013 01:56:31,5,Archived,Knutson,0,N/A,N/A,N/A
13653,XO-2,07:48:06.9725,+50:13:18.12,WFC3/IR,G141,0.89647,0.91239,Reverse,0.035,01,Jan 06 2016 06:03:45,Jan 06 2016 06:49:46,1,Archived,Griffith,12,Yes,Yes,Yes
13653,XO-2,07:48:06.9725,+50:13:18.12,WFC3/IR,G141,N/A,N/A,Reverse,0.035,02,Jan 06 2016 07:39:06,Jan 06 2016 08:31:56,1,Archived,Griffith,12,Yes,Yes,Yes
13653,XO-2,07:48:06.9725,+50:13:18.12,WFC3/IR,G141,N/A,N/A,Forward,0.035,03,Jan 06 2016 09:14:28,Jan 06 2016 10:14:40,1,Archived,Griffith,12,Yes,Yes,Yes
13653,XO-2,07:48:06.9725,+50:13:18.12,WFC3/IR,G141,N/A,N/A,Reverse,0.035,04,Jan 06 2016 10:49:50,Jan 06 2016 11:57:23,1,Archived,Griffith,12,Yes,Yes,Yes
13653,XO-2,07:48:06.9725,+50:13:18.12,WFC3/IR,G141,N/A,N/A,Reverse,0.035,05,Jan 06 2016 12:25:12,Jan 06 2016 13:32:45,1,Archived,Griffith,12,Yes,Yes,Yes
13653,XO-2,07:48:06.9725,+50:13:18.12,WFC3/IR,G141,N/A,N/A,Reverse,0.035,06,Jan 06 2016 14:00:34,Jan 06 2016 15:08:07,1,Archived,Griffith,12,Yes,Yes,Yes
13653,XO-2,07:48:06.9725,+50:13:18.12,WFC3/IR,G141,N/A,N/A,Reverse,0.035,07,Feb 21 2015 02:39:01,Feb 21 2015 03:48:29,1,Archived,Griffith,12,Yes,Yes,Yes
13653,XO-2,07:48:06.9725,+50:13:18.12,WFC3/IR,G141,N/A,N/A,Reverse,0.035,08,Feb 21 2015 04:14:46,Feb 21 2015 05:27:23,1,Archived,Griffith,12,Yes,Yes,Yes
13653,XO-2,07:48:06.9725,+50:13:18.12,WFC3/IR,G141,N/A,N/A,Forward,0.035,09,Feb 21 2015 05:50:30,Feb 21 2015 07:03:59,1,Archived,Griffith,12,Yes,Yes,Yes
13653,XO-2,07:48:06.9725,+50:13:18.12,WFC3/IR,G141,N/A,N/A,Forward,0.035,10,Feb 21 2015 07:26:14,Feb 21 2015 08:36:55,1,Archived,Griffith,12,Yes,Yes,Yes
13653,XO-2,07:48:06.9725,+50:13:18.12,WFC3/IR,G141,N/A,N/A,Forward,0.035,11,Feb 21 2015 09:01:57,Feb 21 2015 10:12:38,1,Archived,Griffith,12,Yes,Yes,Yes
13653,XO-2,07:48:06.9725,+50:13:18.12,WFC3/IR,G141,N/A,N/A,Forward,0.035,12,Feb 21 2015 10:37:40,Feb 21 2015 11:44:38,1,Archived,Griffith,12,Yes,Yes,Yes
13660,WASP-103/2MASS-J16371556+0711000,16:37:15.5680,+07:11:00.07,WFC3/IR,G141,0.29400,0.31200,Roundtrip,0.025,01,Jun 15 2015 16:47:29,Jun 16 2015 00:09:23,5,Archived,Zhao,12,Yes,Yes,Yes
13660,WASP-103/2MASS-J16371556+0711000,16:37:15.5680,+07:11:00.07,WFC3/IR,G141,0.29400,0.31200,Roundtrip,0.025,02,Jun 17 2015 13:21:46,Jun 17 2015 20:42:15,5,Archived,Zhao,12,Yes,Yes,Yes
13665,KEPLER-138/2MASS-J19213157+4317347,19:21:31.5910,+43:17:34.79,WFC3/IR,G141,0.99150,0.99180,Forward,0.070,01,Dec 21 2014 01:45:01,Dec 21 2014 08:59:48,5,Archived,Benneke,12,Yes,Yes,Yes
13665,KEPLER-138/2MASS-J19213157+4317347,19:21:31.5910,+43:17:34.79,WFC3/IR,G141,0.99298,0.99418,Forward,0.070,02,Oct 17 2015 05:50:40,Oct 17 2015 11:34:58,4,Archived,Benneke,12,Yes,Yes,Yes
13665,KEPLER-138/2MASS-J19213157+4317347,19:21:31.5910,+43:17:34.79,WFC3/IR,G141,0.99150,0.99240,Forward,0.070,03,Apr 15 2015 12:29:42,Apr 15 2015 19:46:51,5,Archived,Benneke,12,Yes,Yes,Yes
13665,HD-97658,11:14:33.1619,+25:42:37.39,WFC3/IR,G141,0.97940,0.98010,Forward,1.400,11,Apr 12 2016 07:58:49,Apr 12 2016 15:21:58,5,Archived,Benneke,12,Yes,Yes,Yes
13665,HD-97658,11:14:33.1619,+25:42:37.39,WFC3/IR,G141,0.98120,0.98190,Forward,1.400,12,Jan 31 2017 12:20:32,Jan 31 2017 19:40:14,5,Archived,Benneke,12,Yes,Yes,Yes
13665,55-CNC/GJ324A,08:52:35.8109,+28:19:50.95,WFC3/IR,G141,0.77320,0.78270,Roundtrip,4.800,17,Dec 13 2015 16:16:27,Dec 13 2015 22:00:40,4,Archived,Benneke,12,N/A,N/A,N/A
13665,55-CNC/GJ324A,08:52:35.8109,+28:19:50.95,WFC3/IR,G141,0.77320,0.81940,Roundtrip,4.800,19,Sep 25 2015 21:13:58,Sep 26 2015 02:55:24,4,Archived,Benneke,12,N/A,N/A,N/A
13665,GJ-3470,07:59:05.8700,+15:23:29.50,WFC3/IR,G141,0.95150,0.95350,Forward,0.240,24,Mar 13 2015 03:23:59,Mar 13 2015 09:03:36,4,Archived,Benneke,12,Yes,Yes,Yes
13665,GJ-3470,07:59:05.8700,+15:23:29.50,WFC3/IR,G141,0.95600,0.95800,Forward,0.240,25,Oct 22 2015 17:17:17,Oct 22 2015 22:58:54,4,Archived,Benneke,12,Yes,Yes,Yes
13665,GJ-3470,07:59:05.8700,+15:23:29.50,WFC3/IR,G141,0.95150,0.95800,Forward,0.240,26,Jan 28 2015 18:28:34,Jan 29 2015 00:11:34,4,Archived,Benneke,12,Yes,Yes,Yes
13665,K2-18/EPIC201912552,11:30:14.5090,+07:35:18.21,WFC3/IR,G141,0.99360,0.99530,Forward,0.140,29,Dec 06 2015 12:39:07,Dec 06 2015 19:56:08,5,Archived,Benneke,12,Yes,Yes,Yes
13665,K2-18/EPIC201912552,11:30:14.5090,+07:35:18.21,WFC3/IR,G141,0.99360,0.99530,Forward,0.140,30,May 19 2016 05:38:54,May 19 2016 12:58:55,5,Archived,Benneke,12,Yes,Yes,Yes
13665,K2-18/EPIC201912552,11:30:14.5090,+07:35:18.21,WFC3/IR,G141,0.99360,0.99530,Forward,0.140,35,Mar 14 2016 07:38:13,Mar 14 2016 14:58:12,5,Archived,Benneke,12,Yes,Yes,Yes
14050,WASP-103/2MASS-J16371556+0711000,16:37:15.5680,+07:11:00.07,WFC3/IR,G141,0.22900,0.25100,Roundtrip,0.024,01,Feb 26 2015 10:35:56,Feb 27 2015 09:48:58,15,Archived,Kreidberg,12,N/A,N/A,N/A
14050,WASP-103/2MASS-J16371556+0711000,16:37:15.5680,+07:11:00.07,WFC3/IR,G141,0.76900,0.79100,Roundtrip,0.024,02,Aug 02 2015 08:32:52,Aug 03 2015 07:47:53,15,Archived,Kreidberg,12,Yes,Yes,Yes
14099,HAT-P-18/GSC-02594-00646,17:05:23.1510,+33:00:44.97,WFC3/IR,G141,0.96550,0.96800,Forward,0.022,04,Oct 30 2015 03:14:56,Oct 30 2015 10:56:00,5,Archived,Evans,12,Yes,Yes,Yes
14110,HAT-P-26,14:12:37.5370,+04:03:36.13,WFC3/IR,G102,0.95400,0.95950,Forward,0.032,02,Aug 16 2016 00:15:58,Aug 16 2016 07:39:55,5,Archived,Sing,12,Yes,Yes,Yes
14142,LHS-6343,19:10:14.3540,+46:57:26.14,WFC3/IR,G141,0.98400,0.98650,Forward,0.120,01,Aug 17 2015 12:52:27,Aug 17 2015 20:18:36,5,Archived,Albert,12,Yes,Yes,Yes
14169,WASP-39/GSC-04980-00761,14:29:18.4080,-03:26:40.17,WFC3/IR,G102,0.95310,0.95700,Forward,0.025,01,Jul 07 2016 17:31:25,Jul 08 2016 00:44:33,5,Archived,Wakeford,12,Yes,Yes,Yes
14218,KEPLER-51,19:45:55.1460,+49:56:15.66,WFC3/IR,G141,0.99225,0.99373,Stare,0.000,01,Sep 29 2015 05:25:38,Sep 29 2015 17:28:08,8,Archived,Berta-Thompson,12,N/A,N/A,N/A
14218,KEPLER-51,19:45:55.1460,+49:56:15.66,WFC3/IR,G141,0.99225,0.99511,Stare,0.000,02,Jun 26 2016 05:11:38,Jun 26 2016 17:16:36,8,Archived,Berta-Thompson,12,N/A,N/A,N/A
14218,KEPLER-51,19:45:55.1460,+49:56:15.66,WFC3/IR,G141,0.99629,0.99680,Stare,0.000,03,Dec 31 2015 06:29:14,Jan 01 2016 00:55:56,12,Archived,Berta-Thompson,12,N/A,N/A,N/A
